,transmitance_filename,RPM_filename,PDMS #,RPM,RPM_std,thickness (um),thickness_std
0,trans_PDMS_1.TRM,PDMS RPM 1.5.CSV,1,5523.750090442081,3.3705773483277386,8.005619950825432,0.0
1,trans_PDMS_2.TRM,PDMS RPM 2.CSV,2,4358.358611391978,1.92296707359175,14.867579908675804,0.0
2,trans_PDMS_3.TRM,PDMS RPM 3.CSV,3,3726.713825413873,1.8899683829480904,11.817819927408971,0.0
3,trans_PDMS_4.TRM,PDMS RPM 4.CSV,4,3291.281087333719,1.5652570195639914,13.72391991570074,0.0
4,trans_PDMS_5.TRM,PDMS RPM 5.CSV,5,2664.3173198482937,2.245456039230685,17.154899894625927,0.0
5,trans_PDMS_6.TRM,PDMS RPM 6.CSV,6,2198.819589598894,1.707686613544977,20.58587987355111,0.0
6,trans_PDMS_7.TRM,PDMS RPM 7.CSV,7,1611.4966582789264,2.238993823906532,27.223166290965853,0.0
7,trans_PDMS_8.TRM,PDMS RPM 8.CSV,8,1114.3271663162914,0.8676222685549618,41.873856538537886,0.0
8,trans_PDMS_9.TRM,PDMS RPM 9.CSV,9,915.4405674880056,1.082977247403389,50.885825369717686,0.0
9,trans_PDMS_11.TRM,PDMS RPM 11.CSV,11,3490.404943893316,1.7605004955772037,15.248799906334158,0.0
10,trans_PDMS_12.TRM,PDMS RPM 12.CSV,12,4043.136476185776,2.5686882215444475,13.342699918042388,0.0
11,trans_RPM_13.TRM,PDMS RPM 13.CSV,13,4779.609707534615,2.073610512418063,11.436599929750617,0.0
12,trans_PDMS_14.TRM,PDMS RPM 14.CSV,14,5573.621811008959,2.23985989764314,9.665883853550413,0.0
